iter	RMSE
0	1.848753337
1	1.837906165
2	1.824376855
3	1.815305123
4	1.805095066
5	1.79449907
6	1.791516599
7	1.778432522
8	1.770605787
9	1.758885898
10	1.748270167
11	1.728723994
12	1.718765495
13	1.706080066
14	1.695829276
15	1.682965802
16	1.676506126
17	1.661387244
18	1.657158096
19	1.644735221
20	1.638045809
21	1.627470046
22	1.616364112
23	1.611193549
24	1.599320236
25	1.586626684
26	1.578318439
27	1.567259472
28	1.554859828
29	1.548196452
30	1.546680539
31	1.541094217
32	1.528699485
33	1.526671922
34	1.517011343
35	1.509530251
36	1.495990328
37	1.488590607
38	1.482080811
39	1.47244036
40	1.46431161
41	1.462650946
42	1.458549594
43	1.451966238
44	1.44449422
45	1.439503558
46	1.434392912
47	1.426494011
48	1.418094909
49	1.40800298
50	1.400724831
51	1.395361778
52	1.390901083
53	1.383175345
54	1.381908936
55	1.375989461
56	1.368895117
57	1.365784065
58	1.358022131
59	1.351578189
60	1.345600796
61	1.338330398
62	1.333397992
63	1.33045151
64	1.327955205
65	1.326992055
66	1.32065036
67	1.315939027
68	1.31092171
69	1.304844922
70	1.300082123
71	1.292626572
72	1.29097777
73	1.284326125
74	1.280331026
75	1.27669706
76	1.27249805
77	1.267178713
78	1.260702246
79	1.256767388
80	1.252252049
81	1.246395285
82	1.242616453
83	1.237330491
84	1.231234704
85	1.225389884
86	1.221543006
87	1.218626158
88	1.213304603
89	1.211965125
90	1.207287313
91	1.20368671
92	1.197599856
93	1.196220312
94	1.194979434
95	1.191141162
96	1.186373638
97	1.184593848
98	1.183348391
99	1.180063752
100	1.178972421
101	1.178056468
102	1.177240254
103	1.173349011
104	1.171016549
105	1.167485448
106	1.165608443
107	1.15850449
108	1.154131504
109	1.152340502
110	1.148794634
111	1.14699402
112	1.146094123
113	1.138309176
114	1.137262106
115	1.133091904
116	1.127484111
117	1.121395704
118	1.117167835
119	1.115101472
120	1.112844019
121	1.111018376
122	1.110122916
123	1.10734046
124	1.103931676
125	1.10314423
126	1.100317997
127	1.098574305
128	1.09763239
129	1.095961418
130	1.08678474
131	1.085725046
132	1.084580113
133	1.082779111
134	1.081765293
135	1.07913089
136	1.073182371
137	1.071336684
138	1.066362586
139	1.064359045
140	1.062044337
141	1.056251413
142	1.054512894
143	1.053050824
144	1.051999294
145	1.048949167
146	1.047822851
147	1.046119242
148	1.044598319
149	1.043604369
150	1.037612023
151	1.033615039
152	1.026084694
153	1.02080578
154	1.014847237
155	1.012588731
156	1.011463039
157	1.009897472
158	1.002167351
159	0.9980443235
160	0.9964939505
161	0.9950501916
162	0.9941205266
163	0.9932704166
164	0.9919671782
165	0.9816330014
166	0.9766312484
167	0.9722972172
168	0.9681570668
169	0.9620195386
170	0.9582036769
171	0.9573297439
172	0.9550975087
173	0.9542428498
174	0.9533982276
175	0.9515260569
176	0.9503574751
177	0.9462651721
178	0.9449993974
179	0.9399081679
180	0.9386991041
181	0.9373152394
182	0.9328693818
183	0.9287412449
184	0.9210421867
185	0.9156547168
186	0.9106311256
187	0.9023142691
188	0.901576237
189	0.9004173995
190	0.8996940809
191	0.894780188
192	0.8939579845
193	0.893288575
194	0.8923876574
195	0.8863622708
196	0.8853041018
197	0.8842997673
198	0.8817121498
199	0.8807024938
200	0.8767399098
201	0.8738653255
202	0.8721619398
203	0.8713860769
204	0.8707522689
205	0.8697511276
206	0.8679370015
207	0.8669660269
208	0.8626068432
209	0.8575743289
210	0.856907809
211	0.8562519773
212	0.8532560238
213	0.8523456374
214	0.8479407818
215	0.8440849312
216	0.8406946826
217	0.8398148129
218	0.8372003644
219	0.8362831117
220	0.832856008
221	0.8323026233
222	0.8279485576
223	0.8249031935
224	0.8243569634
225	0.8216589537
226	0.8153815294
227	0.8140071042
228	0.8135590707
229	0.8128535228
230	0.8088381433
231	0.8055138711
232	0.8023466404
233	0.8014521021
234	0.8004113042
