iter	Passed	Remaining
0	4	4797
1	6	3422
2	8	2954
3	11	2960
4	14	2919
5	16	2759
6	19	2696
7	20	2601
8	23	2578
9	25	2532
10	27	2460
11	29	2412
12	32	2437
13	34	2431
14	36	2415
15	39	2411
16	41	2375
17	43	2348
18	45	2329
19	47	2307
20	50	2359
21	53	2362
22	55	2349
23	57	2347
24	59	2331
25	61	2315
26	64	2335
27	67	2332
28	68	2299
29	71	2300
30	74	2319
31	76	2304
32	78	2285
33	80	2276
34	82	2276
35	87	2336
36	89	2323
37	91	2322
38	95	2343
39	97	2335
40	99	2334
41	103	2350
42	104	2332
43	106	2323
44	109	2321
45	111	2322
46	114	2312
47	115	2292
48	118	2297
49	121	2311
50	122	2276
51	125	2283
52	127	2280
53	129	2275
54	130	2244
55	132	2235
56	134	2226
57	138	2244
58	140	2242
59	142	2236
60	145	2232
61	148	2243
62	150	2233
63	152	2227
64	155	2239
65	157	2221
66	158	2206
67	161	2207
68	164	2215
69	166	2211
70	168	2199
71	171	2215
72	174	2213
73	176	2209
74	179	2212
75	181	2206
76	183	2198
77	185	2193
78	189	2203
79	190	2196
80	193	2190
81	195	2186
82	198	2190
83	200	2181
84	202	2178
85	204	2178
86	207	2182
87	210	2178
88	212	2173
89	216	2192
90	218	2182
91	221	2182
92	224	2193
93	228	2197
94	229	2185
95	231	2183
96	234	2181
97	236	2176
98	238	2166
99	241	2174
100	244	2175
101	245	2160
102	246	2142
103	248	2142
104	251	2147
105	253	2139
106	256	2142
107	258	2138
108	261	2140
109	263	2129
110	265	2126
111	267	2121
112	270	2120
113	272	2115
114	274	2111
115	276	2107
116	279	2106
117	281	2101
118	283	2097
119	284	2084
120	287	2085
121	289	2082
122	290	2072
123	294	2082
124	296	2078
125	297	2066
126	299	2058
127	301	2054
128	303	2047
129	305	2044
130	307	2041
131	309	2035
132	312	2039
133	314	2034
134	316	2030
135	319	2028
136	322	2029
137	323	2018
138	325	2014
139	328	2020
140	331	2017
141	333	2012
142	335	2008
143	337	2006
144	340	2007
145	341	1999
146	343	1993
147	345	1989
148	348	1989
149	350	1984
150	352	1981
151	354	1977
152	356	1974
153	358	1970
154	361	1969
155	364	1969
156	365	1964
157	367	1959
158	369	1953
159	372	1953
160	375	1954
161	376	1948
162	378	1944
163	381	1944
164	383	1940
165	385	1934
166	388	1936
167	391	1936
168	392	1931
169	395	1929
170	397	1926
171	400	1925
172	402	1922
173	404	1918
174	405	1913
175	408	1912
176	410	1907
177	412	1904
178	415	1906
179	417	1903
180	419	1898
181	421	1893
182	424	1896
183	426	1889
184	428	1888
185	430	1885
186	433	1883
187	435	1880
188	437	1877
189	439	1874
190	442	1873
191	444	1870
192	446	1867
193	450	1871
194	452	1867
195	453	1861
196	456	1861
197	459	1861
198	462	1863
199	465	1862
200	468	1863
201	473	1870
202	476	1872
203	478	1868
204	481	1867
205	484	1867
206	486	1864
207	488	1860
208	491	1858
209	493	1857
210	495	1852
211	497	1849
212	499	1845
213	502	1844
214	503	1840
215	505	1836
216	508	1833
217	511	1833
218	512	1828
219	514	1823
220	517	1823
221	519	1821
222	521	1817
223	523	1814
224	525	1809
225	527	1807
226	529	1803
227	532	1802
228	534	1800
229	537	1798
230	539	1796
231	541	1793
232	544	1792
233	546	1788
234	548	1784
235	550	1781
236	552	1779
237	554	1774
238	556	1770
239	558	1768
240	561	1767
241	563	1764
242	565	1760
243	567	1758
244	570	1758
245	572	1755
246	575	1754
247	578	1753
248	579	1748
249	581	1745
250	584	1742
251	585	1738
252	587	1734
253	589	1731
254	592	1732
255	595	1729
256	596	1725
257	599	1724
258	601	1721
259	603	1716
260	605	1715
261	608	1714
262	610	1710
263	612	1707
264	614	1705
265	618	1705
266	620	1702
267	622	1701
268	625	1700
269	627	1696
270	629	1693
271	632	1693
272	634	1689
273	636	1685
274	638	1683
275	641	1681
276	642	1677
277	644	1674
278	647	1673
279	649	1669
280	650	1665
281	653	1664
282	656	1663
283	658	1659
284	661	1658
285	664	1658
286	666	1656
287	669	1655
288	672	1655
289	674	1650
290	675	1646
291	677	1643
292	680	1642
293	682	1638
294	683	1634
295	685	1630
296	688	1628
297	689	1624
298	691	1620
299	693	1617
300	696	1616
301	697	1612
302	699	1609
303	701	1606
304	704	1605
