dish,val_mae,forecast_sum,forecast_mean,forecast_start,forecast_end
烤羊肉串,24.77128077440239,1230.723633684399,87.90883097745707,2026-01-01,2026-01-14
掌中宝,15.291901705928383,590.4734782233945,42.17667701595675,2026-01-01,2026-01-14
麻辣味黔鱼,4.39073775525143,283.2822357979711,20.234445414140794,2026-01-01,2026-01-14
麻辣味海鲈鱼,4.97996961567127,259.81513558062966,18.558223970044974,2026-01-01,2026-01-14
麻辣味江团,4.4221684167552535,241.03662226234022,17.21690159016716,2026-01-01,2026-01-14
蒜香味黔鱼,2.920396556395708,169.16881336840925,12.083486669172087,2026-01-01,2026-01-14
蒜香味海鲈鱼,1.5637541311600986,94.24912070519126,6.732080050370804,2026-01-01,2026-01-14
青椒味黔鱼,1.1006594170791744,91.41382283651761,6.529558774036972,2026-01-01,2026-01-14
蒜香味江团,1.017737095851821,87.47470468428658,6.248193191734756,2026-01-01,2026-01-14
青椒味海鲈鱼,1.7506105419844142,78.5407868556732,5.610056203976657,2026-01-01,2026-01-14
青椒味江团,1.2401709337373954,76.43933023899787,5.459952159928419,2026-01-01,2026-01-14
老坛酸菜味海鲈鱼,0.9537277401562864,36.409915794468574,2.6007082710334695,2026-01-01,2026-01-14
老坛酸菜味黔鱼,0.9537277401562864,36.409915794468574,2.6007082710334695,2026-01-01,2026-01-14
老坛酸菜味江团,0.9537277401562864,36.409915794468574,2.6007082710334695,2026-01-01,2026-01-14
酸菜味黔鱼,0.8612985244445566,28.217721466810257,2.0155515333435905,2026-01-01,2026-01-14
酸菜味江团,0.7739525133990168,19.672502181755497,1.4051787272682499,2026-01-01,2026-01-14
酸菜味海鲈鱼,0.675806647839323,19.66601326222916,1.4047152330163686,2026-01-01,2026-01-14
